,title,artist,cluster,origin,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
9246,the borders,sam fender,1,0,-0.7553169188695943,1.0653628105944697,0.7492242252025758,0.8714826909476658,0.7805108865553413,-0.1560050767826384,-0.6909643612164784,-0.40724167617307416,0.6690556161126527,0.2743202588479393,1.3931162511449506,2.121909075044878
9247,in the morning,the coral,2,0,0.271700005680916,0.33592764768098426,0.19497710574843113,0.1609409349004597,-1.2812121102030212,-0.6657138986961763,-0.5981197623082992,-0.4086052213634531,-0.8690124842982915,1.884800444875735,0.1115234535102315,-1.5187796912150147
9248,idgaf,dua lipa,5,0,1.481437732758817,-0.8124398723111921,0.47210066547550344,0.21771256385292792,0.7805108865553413,0.11003232218378084,-0.5378206894690086,-0.4086052213634531,-0.7006108674649764,-0.0030632179229147165,-0.9679438936762478,-0.1946628889487454
9249,soundcheck,catfish and the bottlemen,5,0,0.007069877882624846,0.22749809643708768,-0.913517133159858,0.2726914045226863,0.7805108865553413,-0.5326951992129666,-0.6947779780748575,-0.06274090164510926,1.3551362772854179,0.5599838394029985,0.4359656391831323,0.6879804554998584
9250,i predict a riot,kaiser chiefs,1,0,-1.2971786091232373,1.331508072738579,0.7492242252025758,1.034626424674232,0.7805108865553413,-0.09832440178549437,-0.6017137467821643,-0.4086052213634531,-0.46609602328228583,-0.4170684071331451,1.3149325167033423,0.11376543676598927
9251,ooh la,the kooks,2,0,-0.35207100984362677,0.8090747803816233,1.3034713446567203,0.451372636699402,-1.2812121102030212,-0.02887216046240258,-0.5937271146180199,-0.40821130830845476,-0.3101686002884756,0.9822691323974332,1.0194445340546365,-0.37627941092801237
9252,foundations,kate nash,5,0,-0.6230018549704487,0.9618618753162048,-1.4677642526140027,0.8048507264402954,0.7805108865553413,-0.08890714872473622,-0.34494352270492024,-0.4086052213634531,-0.6912552220853477,1.4790753594497095,-1.4320605638357637,0.35633905304005814
9253,girls,the 1975,3,0,0.3536093309518157,1.0062194190068898,1.5805949043837928,0.5138214285471168,0.7805108865553413,-0.37848768034305097,-0.6830975285347962,-0.4021554361772161,1.691939510952048,1.636397331349597,-0.5614032471324468,0.5475281864407864
9254,mr. brightside,the killers,1,0,-1.5681094542500593,1.0801486584913647,-1.1906406928869304,0.8944901405757714,0.7805108865553413,-0.10774165484625252,-0.6942388804037778,-0.4086052213634531,-0.5989461876730121,-1.1250172806826386,0.9154826953899563,-0.1104724798297627
9255,apricot princess,rex orange county,0,0,-1.2719757398091145,-1.187014685699198,-0.913517133159858,-0.5803770199999267,0.7805108865553413,-0.6045017538012479,0.27561779644910356,-0.40787799726191765,-0.5721266709180768,-1.0836167617616157,-0.4192912914728768,0.22088558952242565
9256,sycamore girl,rex orange county,2,0,0.06377633383940153,-1.591161194880994,0.19497710574843113,-1.1988889775347105,-1.2812121102030212,-0.6574738022680128,-0.2954264032872246,-0.40552750507659774,-0.1230556926959033,-1.3320198752877537,-0.268057284605429,1.067909914728383
9257,you've got a friend in me,rex orange county,0,0,1.1790033009893421,-1.2757297730805681,-0.6363935734327858,-0.13277754541678313,0.7805108865553413,-0.672776838491745,2.8832531980422664,-0.4084723298163273,0.656581422273148,-0.25974643523325747,-0.37412421201038876,-1.7818342435536052
9258,she's got you high,mumm-ra,1,0,-0.8687298307831472,0.1338543930900861,-0.3592700137057135,0.7059485728441536,0.7805108865553413,-0.6127418502294114,-0.602911741606786,-0.4086052213634531,0.6129217438348811,-0.5661102752488278,0.30862623608692685,-0.452374588400939
9259,america,razorlight,5,0,-0.9695413080396392,-0.6941530891360327,-0.913517133159858,0.5165106109711811,0.7805108865553413,-0.6409936094116859,0.479276916634787,-0.40859110975291135,0.9996217528595305,-1.4976219509718458,-1.19304066336052,0.4491711219412056
9260,toothpaste kisses,the maccabees,0,0,-0.875030548111678,-1.3890879402900962,1.026347784929648,-1.9808434668431794,0.7805108865553413,-0.06771832933803014,2.8672799337139776,0.02859498253583014,1.0931782066558167,-0.1438249822543931,-0.7963237642713568,-1.3811607532320622
9261,no pressure,the kooks,3,0,-0.6040997029848565,-0.17171979677907645,-0.913517133159858,0.8323401467751746,0.7805108865553413,-0.6421707660442808,-0.28743977112308017,-0.4086052213634531,3.2948734193284177,-0.7399924547171245,-0.11349945341122399,-0.22157953417188167
9262,before i fall to pieces,razorlight,5,0,-0.6293025722989795,0.6020729098250934,-0.913517133159858,0.598978871975819,0.7805108865553413,-0.29726387269401144,-0.6777464849848195,-0.4086008493614141,-0.515992798640305,0.270180206955837,-0.3276645341986064,-0.5147078720755704
9263,hunger,florence + the machine,2,0,0.8072609786060284,-0.1667911808134448,-0.913517133159858,0.32378587057990765,-1.2812121102030212,-0.5115063798262606,1.41770619592176,-0.4086052213634531,-0.6001936070569626,-0.7399924547171245,-0.2666908234933175,-0.2610437884464048
9264,boys don't cry,the cure,2,0,-0.875030548111678,0.6267159896532518,1.5805949043837928,0.2801613557006427,-1.2812121102030212,-0.2690121135117368,-0.6781058834322059,-0.4086052213634531,-0.09187020809714122,0.6634851367055561,1.6814395458004239,-1.448897604030436
9265,it might be time,tame impala,3,0,-0.10004231670239777,0.3556421115435109,-0.913517133159858,0.8652079319581826,0.7805108865553413,-0.4620658012572801,-0.6148916898530027,-0.4077957516790059,2.6961121150321863,-0.7234322471487152,-0.26927602019190666,0.9200505087131696
9266,pick a part that's new,stereophonics,5,0,-0.7490162015410635,0.8337178602097817,1.026347784929648,0.6243767059808705,0.7805108865553413,-0.5491753920692934,-0.6876898420291793,-0.4086052213634531,0.7064781976311673,-0.1314048265780862,-0.8940072680966068,-0.27913663117534004
9267,superstar tradesman - radio edit,the view,1,0,-1.788634560748635,1.2329357534259457,-1.4677642526140027,1.3866105241795346,0.7805108865553413,-0.24429182422724666,-0.6951453631544082,-0.2488756419190615,-0.30393150336872315,-0.5122896006514979,1.539549178429305,-0.6882089243296663
9268,i can talk,two door cinema club,1,0,-0.812023374826371,0.1979264006432977,1.026347784929648,0.5457928195887699,-1.2812121102030212,1.3189721838586157,-0.6986311287624489,0.09352570588720883,0.5817362592361189,0.6179445658924307,1.4664989060034654,-1.045471734949234
9269,3 nights,dominic fike,2,0,1.3491226688596716,-0.9405838874176152,0.47210066547550344,0.03275657268672898,-1.2812121102030212,0.055883117084421244,0.19175815872558685,-0.4086052213634531,-0.5658895739983244,1.5163358264786302,1.0582224845334687,-1.0098527157065873
9270,"stayin' alive - from ""saturday night fever"" soundtrack",bee gees,2,0,0.6434423280642291,0.5774298299969352,1.3034713446567203,-0.14204028487744916,-1.2812121102030212,-0.5986159706382741,-0.5701665497337937,-0.38137760470477494,-0.09810730501689363,1.7978593551415865,-0.7265603847908664,1.1699098334686888
9271,how deep is your love,bee gees,2,0,0.20239211506707785,-1.7340910578843123,-0.08214645397864118,-0.7955116139250688,-1.2812121102030212,-0.6892570313480718,-0.27945313895893575,-0.4086052213634531,-0.3850137633255044,0.675905292381863,-0.6758166667357077,0.3568854811761669
9272,"night fever - from ""saturday night fever"" soundtrack",bee gees,2,0,0.8324638479201514,0.42464273506235417,-1.1906406928869304,-0.15548619699777053,-1.2812121102030212,-0.7069143808369934,-0.5925291197933981,-0.4045015996476459,-0.6968686093131249,1.5784366048601648,-0.5212957669229112,-0.30989851143035296
9273,"you should be dancing - edit / from ""saturday night fever"" soundtrack",bee gees,5,0,0.5048265468365535,0.035282073777452835,-1.4677642526140027,-1.25715459672277,0.7805108865553413,-0.6080332236990322,-0.6260729748828049,0.32727630995217216,0.8873540083039874,1.8723802891994281,-0.008429673304291407,0.5854341086234437
